Product Name,Price
TinHiFi C2,29.0
TinHiFi T3 Plus,69.0
TinHiFi P1 Plus,119.0
TinHiFi T2 EVO,59.99
TinHiFi T5,129.0
TINHIFI T1 Plus,29.99
TINHIFI P2,369.0
TIN HIFI T4,109.0
TinHiFi T2,42.49
TinHiFi T3,69.99
TINHIFI C0,13.99
,1040.45
